Pixel,UpperAuto,UpperManual,UpperMean,BottomAuto,BottomManual,BottomMean,ErrorUpperAuto,ErrorUpperManual,ErrorBottomAuto,ErrorBottomManual,StdErrorUpperAuto,StdErrorUpperManual,StdErrorBottomAuto,StdErrorBottomManual,PercentErrorUpperAuto,PercentErrorUpperManual,PercentErrorBottomAuto,PercentErrorBottomManual,
221,-177.1,-177.1,-175.3202101,-180.9,-180.9,-194.3729826,-1.779789874,-1.779789874,13.47298261,13.47298261,3.167651997,3.167651997,181.5212604,181.5212604,0.0035883,0.0035883,0.0271633,0.0271633,0.0001208
222,-177,-177,-175.3383025,-180.9,-180.8,-194.3197777,-1.661697533,-1.661697533,13.4197777,13.5197777,2.761238692,2.761238692,180.0904336,182.7843891,0.0033502,0.0033502,0.0270560,0.0272576,0.0001167
223,-177,-177,-175.3151731,-180.9,-180.8,-194.266611,-1.684826916,-1.684826916,13.36661097,13.46661097,2.838641737,2.838641737,178.6662889,181.3496111,0.0033968,0.0033968,0.0269488,0.0271504,0.0001175
224,-177,-177,-175.2640224,-180.9,-180.7,-194.21645,-1.735977564,-1.735977564,13.31645002,13.51645002,3.013618104,3.013618104,177.3278411,182.6944211,0.0035000,0.0035000,0.0268477,0.0272509,0.0001193
225,-177,-177,-175.2128718,-180.8,-180.7,-194.1668428,-1.787128213,-1.787128213,13.36684277,13.46684277,3.193827249,3.193827249,178.6724856,181.3558541,0.0036031,0.0036031,0.0269493,0.0271509,0.0001210
226,-177,-177,-175.1622488,-180.8,-180.6,-194.1176175,-1.837751234,-1.837751234,13.31761748,13.51761748,3.377329598,3.377329598,177.3589355,182.7259825,0.0037051,0.0037051,0.0268500,0.0272533,0.0001227
227,-177.1,-177.1,-175.1118632,-180.8,-180.6,-194.0683922,-1.988136764,-1.988136764,13.2683922,13.4683922,3.952687793,3.952687793,176.0502316,181.3975885,0.0040083,0.0040083,0.0267508,0.0271540,0.0001276
228,-177.1,-177.1,-175.0614376,-180.7,-180.5,-194.0191669,-2.038562397,-2.038562397,13.31916692,13.51916692,4.155736647,4.155736647,177.4002074,182.7678742,0.0041100,0.0041100,0.0268532,0.0272564,0.0001293
229,-177.1,-177.1,-175.0115791,-180.7,-180.5,-193.9699416,-2.088420902,-2.088420902,13.26994164,13.46994164,4.361501863,4.361501863,176.091351,181.4393277,0.0042105,0.0042105,0.0267539,0.0271571,0.0001308
230,-177.2,-177.2,-174.9637747,-180.6,-180.4,-193.9207164,-2.236225318,-2.236225318,13.32071635,13.52071635,5.000703674,5.000703674,177.4414842,182.8097707,0.0045085,0.0045085,0.0268563,0.0272595,0.0001354
231,-177.2,-177.2,-174.9174187,-180.6,-180.4,-193.8712628,-2.282581341,-2.282581341,13.27126279,13.47126279,5.210177579,5.210177579,176.1264161,181.4749212,0.0046020,0.0046020,0.0267566,0.0271598,0.0001368
232,-177.2,-177.2,-174.8710013,-180.6,-180.3,-193.8225065,-2.32899868,-2.32899868,13.22250652,13.52250652,5.424234853,5.424234853,174.8346788,182.8581827,0.0046956,0.0046956,0.0266583,0.0272631,0.0001382
233,-177.3,-177.3,-174.8245836,-180.5,-180.3,-193.7739934,-2.475416427,-2.475416427,13.27399343,13.47399343,6.127686485,6.127686485,176.1989015,181.5484989,0.0049908,0.0049908,0.0267621,0.0271653,0.0001424
234,-177.3,-177.3,-174.7781658,-180.5,-180.2,-193.7254803,-2.521834173,-2.521834173,13.22548033,13.52548033,6.359647596,6.359647596,174.9133299,182.9386181,0.0050843,0.0050843,0.0266643,0.0272691,0.0001438
235,-177.4,-177.4,-174.7317481,-180.4,-180.2,-193.6769672,-2.668251919,-2.668251919,13.27696723,13.47696723,7.119568304,7.119568304,176.2778589,181.6286458,0.0053795,0.0053795,0.0267681,0.0271713,0.0001479
236,-177.4,-177.4,-174.6853303,-180.3,-180.1,-193.6272981,-2.714669665,-2.714669665,13.32729814,13.52729814,7.369431392,7.369431392,177.6168757,182.987795,0.0054731,0.0054731,0.0268696,0.0272728,0.0001492
237,-177.4,-177.4,-174.6389126,-180.3,-180.1,-193.5760461,-2.761087412,-2.761087412,13.2760461,13.4760461,7.623603695,7.623603695,176.2533999,181.6038184,0.0055667,0.0055667,0.0267662,0.0271694,0.0001504
238,-177.4,-177.4,-174.5670569,-180.2,-180.1,-193.5247941,-2.832943065,-2.832943065,13.32479405,13.42479405,8.025566408,8.025566408,177.5501365,180.2250953,0.0057116,0.0057116,0.0268645,0.0270661,0.0001524
239,-177.4,-177.4,-174.3927264,-180.2,-180,-193.473542,-3.007273558,-3.007273558,13.27354201,13.47354201,9.043694252,9.043694252,176.1869174,181.5363342,0.0060631,0.0060631,0.0267612,0.0271644,0.0001570
240,-177.4,-177.4,-174.2034627,-180.1,-180,-193.42229,-3.19653734,-3.19653734,13.32228996,13.42228996,10.21785097,10.21785097,177.4834099,180.1578679,0.0064446,0.0064446,0.0268595,0.0270611,0.0001619
241,-177.4,-177.4,-174.0177356,-180,-179.9,-193.3715629,-3.382264379,-3.382264379,13.37156288,13.47156288,11.43971233,11.43971233,178.7986939,181.4830065,0.0068191,0.0068191,0.0269588,0.0271604,0.0001665
242,-177.4,-177.4,-173.8509018,-180,-179.9,-193.3238753,-3.549098158,-3.549098158,13.32387528,13.42387528,12.59609773,12.59609773,177.5256526,180.2004276,0.0071554,0.0071554,0.0268627,0.0270643,0.0001705
243,-177.4,-177.4,-173.7012096,-179.9,-179.8,-193.2691974,-3.698790437,-3.698790437,13.36919744,13.46919744,13.6810507,13.6810507,178.7354402,181.4192797,0.0074572,0.0074572,0.0269540,0.0271556,0.0001741
244,-177.3,-177.3,-173.5499112,-179.9,-179.8,-193.2173871,-3.750088778,-3.750088778,13.31738707,13.41738707,14.06316584,14.06316584,177.3527984,180.0262758,0.0075607,0.0075607,0.0268496,0.0270512,0.0001753
245,-177.3,-177.3,-173.3944256,-179.8,-179.8,-193.1655458,-3.90557444,-3.90557444,13.36554578,13.36554578,15.25351171,15.25351171,178.6378139,178.6378139,0.0078741,0.0078741,0.0269467,0.0269467,0.0001789
246,-177.3,-177.3,-173.2293677,-179.8,-179.7,-193.1136668,-4.070632321,-4.070632321,13.3136668,13.4136668,16.57004749,16.57004749,177.2537236,179.9264569,0.0082069,0.0082069,0.0268421,0.0270437,0.0001826
247,-177.2,-177.2,-173.0643098,-179.7,-179.7,-193.0617878,-4.135690202,-4.135690202,13.36178782,13.36178782,17.10393344,17.10393344,178.5373737,178.5373737,0.0083381,0.0083381,0.0269391,0.0269391,0.0001841
248,-177.2,-177.2,-172.8992519,-179.7,-179.6,-193.0096964,-4.300748083,-4.300748083,13.30969635,13.40969635,18.49643407,18.49643407,177.148017,179.8199563,0.0086709,0.0086709,0.0268341,0.0270357,0.0001877
249,-177.1,-177.1,-172.7341477,-179.6,-179.6,-192.953547,-4.365852329,-4.365852329,13.35354698,13.35354698,19.06066656,19.06066656,178.3172168,178.3172168,0.0088021,0.0088021,0.0269225,0.0269225,0.0001892
250,-177.1,-177.1,-172.5703918,-179.6,-179.6,-192.8952746,-4.52960821,-4.52960821,13.29527462,13.29527462,20.51735054,20.51735054,176.7643273,176.7643273,0.0091323,0.0091323,0.0268050,0.0268050,0.0001927
251,-177.1,-177.1,-172.4099584,-179.5,-179.6,-192.8370023,-4.690041563,-4.690041563,13.33700227,13.23700227,21.99648986,21.99648986,177.8756296,175.2182292,0.0094557,0.0094557,0.0268891,0.0266875,0.0001960
252,-177,-177,-172.2541841,-179.5,-179.5,-192.7785777,-4.745815878,-4.745815878,13.27857766,13.27857766,22.52276835,22.52276835,176.3206247,176.3206247,0.0095682,0.0095682,0.0267713,0.0267713,0.0001972
253,-177,-177,-172.0984098,-179.5,-179.5,-192.7194439,-4.901590194,-4.901590194,13.21944391,13.21944391,24.02558643,24.02558643,174.7536972,174.7536972,0.0098822,0.0098822,0.0266521,0.0266521,0.0002004
254,-177,-177,-171.9425376,-179.5,-179.5,-192.6609505,-5.05746241,-5.05746241,13.16095047,13.16095047,25.57792603,25.57792603,173.2106174,173.2106174,0.0101965,0.0101965,0.0265342,0.0265342,0.0002036
255,-176.9,-176.9,-171.7874195,-179.4,-179.5,-192.606847,-5.112580514,-5.112580514,13.20684696,13.10684696,26.13847951,26.13847951,174.4208065,171.7894371,0.0103076,0.0103076,0.0266267,0.0264251,0.0002047
256,-176.9,-176.9,-171.6325263,-179.4,-179.5,-192.5527434,-5.267473674,-5.267473674,13.15274344,13.05274344,27.74627891,27.74627891,172.9946599,170.3741113,0.0106199,0.0106199,0.0265176,0.0263160,0.0002078
257,-176.9,-176.9,-171.4781073,-179.4,-179.5,-192.4986399,-5.421892699,-5.421892699,13.09863992,12.99863992,29.39692044,29.39692044,171.5743678,168.9646398,0.0109312,0.0109312,0.0264085,0.0262069,0.0002108
258,-176.9,-176.9,-171.4207548,-179.4,-179.5,-192.4445364,-5.479245173,-5.479245173,13.0445364,12.9445364,30.02212767,30.02212767,170.1599299,167.5610227,0.0110469,0.0110469,0.0262995,0.0260979,0.0002119
259,-176.9,-176.9,-171.5176255,-179.4,-179.5,-192.3948478,-5.382374465,-5.382374465,12.99484777,12.89484777,28.96995488,28.96995488,168.8660685,166.277099,0.0108516,0.0108516,0.0261993,0.0259977,0.0002100
260,-176.9,-176.9,-171.6201088,-179.5,-179.5,-192.3458927,-5.279891243,-5.279891243,12.84589274,12.84589274,27.87725154,27.87725154,165.0169602,165.0169602,0.0106449,0.0106449,0.0258990,0.0258990,0.0002080
261,-176.9,-176.9,-171.7226782,-179.5,-179.5,-192.2969377,-5.177321799,-5.177321799,12.79693771,12.79693771,26.80466101,26.80466101,163.7616147,163.7616147,0.0104381,0.0104381,0.0258003,0.0258003,0.0002060
262,-176.9,-176.9,-171.8280397,-179.5,-179.5,-192.2526228,-5.071960343,-5.071960343,12.75262279,12.75262279,25.72478172,25.72478172,162.629388,162.629388,0.0102257,0.0102257,0.0257109,0.0257109,0.0002039
263,-176.9,-176.9,-171.9675124,-179.5,-179.6,-192.2097604,-4.93248765,-4.93248765,12.70976037,12.60976037,24.32943442,24.32943442,161.5380086,159.0060565,0.0099445,0.0099445,0.0256245,0.0254229,0.0002011
264,-176.9,-176.9,-172.1086417,-179.6,-179.6,-192.1673007,-4.791358336,-4.791358336,12.56730065,12.56730065,22.9571147,22.9571147,157.9370457,157.9370457,0.0096600,0.0096600,0.0253373,0.0253373,0.0001982
265,-177,-177,-172.2497878,-179.6,-179.6,-192.1258339,-4.75021221,-4.75021221,12.52583391,12.52583391,22.56451604,22.56451604,156.8965152,156.8965152,0.0095770,0.0095770,0.0252537,0.0252537,0.0001973
266,-177,-177,-172.3920467,-179.7,-179.7,-192.0849169,-4.607953301,-4.607953301,12.38491688,12.38491688,21.23323362,21.23323362,153.3861661,153.3861661,0.0092902,0.0092902,0.0249696,0.0249696,0.0001943
267,-177,-177,-172.534767,-179.7,-179.7,-192.0439998,-4.465233015,-4.465233015,12.34399985,12.34399985,19.93830588,19.93830588,152.3743322,152.3743322,0.0090025,0.0090025,0.0248871,0.0248871,0.0001913
