Pixel,UpperAuto,UpperManual,UpperMean,BottomAuto,BottomManual,BottomMean,ErrorUpperAuto,ErrorUpperManual,ErrorBottomAuto,ErrorBottomManual,StdErrorUpperAuto,StdErrorUpperManual,StdErrorBottomAuto,StdErrorBottomManual,PercentErrorUpperAuto,PercentErrorUpperManual,PercentErrorBottomAuto,PercentErrorBottomManual
228,-179.30000,-179.30000,-178.47244,-182.40000,-182.70000,-183.52400,-0.82756,-0.82756,1.12400,0.82400,0.68486,0.68486,1.26338,0.67898,0.0016685,0.0016685,0.0022661,0.0016613
229,-179.20000,-179.20000,-178.46090,-182.40000,-182.70000,-183.49058,-0.73910,-0.73910,1.09058,0.79058,0.54627,0.54627,1.18936,0.62501,0.0014901,0.0014901,0.0021987,0.0015939
230,-179.20000,-179.20000,-178.44936,-182.30000,-182.70000,-183.45716,-0.75064,-0.75064,1.15716,0.75716,0.56346,0.56346,1.33901,0.57328,0.0015134,0.0015134,0.0023330,0.0015265
231,-179.20000,-179.20000,-178.43782,-182.30000,-182.70000,-183.42373,-0.76218,-0.76218,1.12373,0.72373,0.58092,0.58092,1.26277,0.52379,0.0015367,0.0015367,0.0022656,0.0014591
232,-179.20000,-179.20000,-178.42628,-182.30000,-182.70000,-183.39031,-0.77372,-0.77372,1.09031,0.69031,0.59864,0.59864,1.18877,0.47653,0.0015599,0.0015599,0.0021982,0.0013918
233,-179.30000,-179.30000,-178.39981,-182.30000,-182.60000,-183.35689,-0.90019,-0.90019,1.05689,0.75689,0.81035,0.81035,1.11701,0.57288,0.0018149,0.0018149,0.0021308,0.0015260
234,-179.30000,-179.30000,-178.35579,-182.30000,-182.60000,-183.32374,-0.94421,-0.94421,1.02374,0.72374,0.89153,0.89153,1.04804,0.52380,0.0019036,0.0019036,0.0020640,0.0014591
235,-179.30000,-179.30000,-178.31178,-182.30000,-182.60000,-183.29144,-0.98822,-0.98822,0.99144,0.69144,0.97659,0.97659,0.98296,0.47809,0.0019924,0.0019924,0.0019989,0.0013940
236,-179.40000,-179.40000,-178.26737,-182.30000,-182.60000,-183.25915,-1.13263,-1.13263,0.95915,0.65915,1.28285,1.28285,0.91997,0.43448,0.0022835,0.0022835,0.0019338,0.0013289
237,-179.40000,-179.40000,-178.22196,-182.30000,-182.60000,-183.22686,-1.17804,-1.17804,0.92686,0.62686,1.38779,1.38779,0.85906,0.39295,0.0023751,0.0023751,0.0018687,0.0012638
238,-179.40000,-179.40000,-178.17654,-182.30000,-182.60000,-183.19456,-1.22346,-1.22346,0.89456,0.59456,1.49685,1.49685,0.80024,0.35350,0.0024666,0.0024666,0.0018036,0.0011987
239,-179.50000,-179.50000,-178.13113,-182.30000,-182.60000,-183.16227,-1.36887,-1.36887,0.86227,0.56227,1.87381,1.87381,0.74350,0.31614,0.0027598,0.0027598,0.0017384,0.0011336
240,-179.50000,-179.50000,-178.08571,-182.30000,-182.60000,-183.12997,-1.41429,-1.41429,0.82997,0.52997,2.00021,2.00021,0.68885,0.28087,0.0028514,0.0028514,0.0016733,0.0010685
241,-179.50000,-179.50000,-178.01846,-182.30000,-182.60000,-183.09768,-1.48154,-1.48154,0.79768,0.49768,2.19495,2.19495,0.63629,0.24768,0.0029870,0.0029870,0.0016082,0.0010034
242,-179.50000,-179.50000,-177.94855,-182.30000,-182.60000,-183.06647,-1.55145,-1.55145,0.76647,0.46647,2.40699,2.40699,0.58747,0.21759,0.0031279,0.0031279,0.0015453,0.0009405
243,-179.50000,-179.50000,-177.87632,-182.40000,-182.60000,-183.03627,-1.62368,-1.62368,0.63627,0.43627,2.63634,2.63634,0.40485,0.19034,0.0032735,0.0032735,0.0012828,0.0008796
244,-179.50000,-179.50000,-177.76973,-182.40000,-182.60000,-183.00625,-1.73027,-1.73027,0.60625,0.40625,2.99384,2.99384,0.36754,0.16504,0.0034884,0.0034884,0.0012223,0.0008190
245,-179.40000,-179.40000,-177.63350,-182.40000,-182.60000,-182.97622,-1.76650,-1.76650,0.57622,0.37622,3.12051,3.12051,0.33203,0.14154,0.0035615,0.0035615,0.0011617,0.0007585
246,-179.30000,-179.30000,-177.47536,-182.50000,-182.60000,-182.94620,-1.82464,-1.82464,0.44620,0.34620,3.32929,3.32929,0.19909,0.11985,0.0036787,0.0036787,0.0008996,0.0006980
247,-179.20000,-179.20000,-177.25385,-182.50000,-182.60000,-182.91617,-1.94615,-1.94615,0.41617,0.31617,3.78749,3.78749,0.17320,0.09996,0.0039237,0.0039237,0.0008391,0.0006374
248,-179.10000,-179.10000,-177.02507,-182.50000,-182.60000,-182.89841,-2.07493,-2.07493,0.39841,0.29841,4.30532,4.30532,0.15873,0.08905,0.0041833,0.0041833,0.0008033,0.0006016
249,-178.90000,-178.90000,-176.79629,-182.60000,-182.60000,-182.88287,-2.10371,-2.10371,0.28287,0.28287,4.42558,4.42558,0.08001,0.08001,0.0042413,0.0042413,0.0005703,0.0005703
250,-178.60000,-178.60000,-176.56752,-182.60000,-182.60000,-182.87627,-2.03248,-2.03248,0.27627,0.27627,4.13099,4.13099,0.07633,0.07633,0.0040978,0.0040978,0.0005570,0.0005570
251,-178.30000,-178.30000,-176.32791,-182.60000,-182.60000,-182.87146,-1.97209,-1.97209,0.27146,0.27146,3.88913,3.88913,0.07369,0.07369,0.0039760,0.0039760,0.0005473,0.0005473
252,-178.00000,-178.00000,-176.04340,-182.70000,-182.60000,-182.86664,-1.95660,-1.95660,0.16664,0.26664,3.82829,3.82829,0.02777,0.07110,0.0039448,0.0039448,0.0003360,0.0005376
253,-177.50000,-177.50000,-175.75888,-182.70000,-182.60000,-182.86183,-1.74112,-1.74112,0.16183,0.26183,3.03149,3.03149,0.02619,0.06855,0.0035103,0.0035103,0.0003263,0.0005279
254,-177.00000,-177.00000,-175.41185,-182.80000,-182.60000,-182.85701,-1.58815,-1.58815,0.05701,0.25701,2.52223,2.52223,0.00325,0.06605,0.0032019,0.0032019,0.0001149,0.0005182
255,-176.40000,-176.40000,-175.01478,-182.80000,-182.60000,-182.85220,-1.38522,-1.38522,0.05220,0.25220,1.91884,1.91884,0.00272,0.06360,0.0027928,0.0027928,0.0001052,0.0005085
256,-175.90000,-175.90000,-174.59985,-182.90000,-182.60000,-182.84738,-1.30015,-1.30015,-0.05262,0.24738,1.69038,1.69038,0.00277,0.06120,0.0026213,0.0026213,0.0001061,0.0004988
257,-175.50000,-175.50000,-174.18434,-182.90000,-182.60000,-182.84257,-1.31566,-1.31566,-0.05743,0.24257,1.73096,1.73096,0.00330,0.05884,0.0026525,0.0026525,0.0001158,0.0004890
258,-175.30000,-175.30000,-173.77104,-183.00000,-182.60000,-182.83775,-1.52896,-1.52896,-0.16225,0.23775,2.33772,2.33772,0.02632,0.05653,0.0030826,0.0030826,0.0003271,0.0004793
259,-175.30000,-175.30000,-173.35677,-183.00000,-182.60000,-182.83294,-1.94323,-1.94323,-0.16706,0.23294,3.77616,3.77616,0.02791,0.05426,0.0039178,0.0039178,0.0003368,0.0004696
260,-175.20000,-175.20000,-172.94588,-183.10000,-182.60000,-182.80203,-2.25412,-2.25412,-0.29797,0.20203,5.08104,5.08104,0.08879,0.04082,0.0045446,0.0045446,0.0006007,0.0004073
261,-175.20000,-175.20000,-172.54620,-183.10000,-182.60000,-182.76657,-2.65380,-2.65380,-0.33343,0.16657,7.04267,7.04267,0.11118,0.02774,0.0053504,0.0053504,0.0006722,0.0003358
262,-175.00000,-175.00000,-172.14651,-183.10000,-182.60000,-182.73111,-2.85349,-2.85349,-0.36889,0.13111,8.14240,8.14240,0.13608,0.01719,0.0057530,0.0057530,0.0007437,0.0002643
263,-174.70000,-174.70000,-171.74729,-183.20000,-182.60000,-182.69564,-2.95271,-2.95271,-0.50436,0.09564,8.71851,8.71851,0.25438,0.00915,0.0059530,0.0059530,0.0010168,0.0001928
264,-174.50000,-174.50000,-171.34991,-183.20000,-182.60000,-182.66018,-3.15009,-3.15009,-0.53982,0.06018,9.92306,9.92306,0.29141,0.00362,0.0063510,0.0063510,0.0010883,0.0001213
265,-174.40000,-174.40000,-170.95159,-183.20000,-182.60000,-182.63650,-3.44841,-3.44841,-0.56350,0.03650,11.89155,11.89155,0.31753,0.00133,0.0069524,0.0069524,0.0011361,0.0000736
266,-174.30000,-174.30000,-170.56272,-183.20000,-182.60000,-182.65491,-3.73728,-3.73728,-0.54509,0.05491,13.96728,13.96728,0.29712,0.00302,0.0075348,0.0075348,0.0010990,0.0001107
267,-174.00000,-174.00000,-170.20924,-183.20000,-182.60000,-182.67333,-3.79076,-3.79076,-0.52667,0.07333,14.36985,14.36985,0.27738,0.00538,0.0076427,0.0076427,0.0010618,0.0001478
268,-173.50000,-173.50000,-169.91848,-183.30000,-182.60000,-182.69174,-3.58152,-3.58152,-0.60826,0.09174,12.82731,12.82731,0.36998,0.00842,0.0072208,0.0072208,0.0012263,0.0001850
269,-172.80000,-172.80000,-169.66220,-183.30000,-182.60000,-182.71015,-3.13780,-3.13780,-0.58985,0.11015,9.84576,9.84576,0.34792,0.01213,0.0063262,0.0063262,0.0011892,0.0002221
270,-172.10000,-172.10000,-169.48221,-183.30000,-182.60000,-182.72856,-2.61779,-2.61779,-0.57144,0.12856,6.85284,6.85284,0.32654,0.01653,0.0052778,0.0052778,0.0011521,0.0002592
271,-171.40000,-171.40000,-169.50524,-183.20000,-182.60000,-182.74697,-1.89476,-1.89476,-0.45303,0.14697,3.59011,3.59011,0.20523,0.02160,0.0038201,0.0038201,0.0009134,0.0002963
